Country,Region,Study_midyear,Species,Biome,Leaf_habit,Soil_drainage,MAT,MAP
China,Shaanxi,2011.0,Triticum aestivum,Temperate,Deciduous,Dry,10.0,528.5
China,Shaanxi,2010.5,Robinia pseudoacacia,Temperate,Deciduous,Dry,9.4,580.0
China,Shaanxi,2011.5,Robinia pseudoacacia,Temperate,Deciduous,Dry,9.4,580.0
China,Shaanxi,2012.5,Robinia pseudoacacia,Temperate,Deciduous,Dry,9.4,580.0
Canada,Ontario,2012.5,Picea mariana [Mill.] Britton,Boreal,Evergreen,Dry,2.0,827.0
Canada,Ontario,2012.5,Picea mariana [Mill.] Britton,Boreal,Evergreen,Dry,2.0,827.0
Canada,Ontario,2012.5,Picea mariana [Mill.] Britton,Boreal,Evergreen,Dry,2.0,827.0
China,Fujian,2011.0,Castanopsis carlesii,Subtropical,Evergreen,Dry,19.1,1749.0
USA,Wisconsin,1999.0,Populus tremuloides,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,2000.0,Populus tremuloides,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,2001.0,Populus tremuloides,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,2002.0,Populus tremuloides,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,2000.5,Populus tremuloides,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,2000.5,Populus tremuloides,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,1999.0,Populus tremuloides,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,2000.0,Populus tremuloides,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,2001.0,Populus tremuloides,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,2002.0,Populus tremuloides,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,2000.5,Populus tremuloides,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,2000.5,Populus tremuloides,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,1999.0,Acer saccharum,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,2000.0,Acer saccharum,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,2001.0,Acer saccharum,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,2002.0,Acer saccharum,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,2000.5,Acer saccharum,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,2000.5,Acer saccharum,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,2000.5,Acer saccharum,Temperate,Deciduous,Dry,4.1,800.0
USA,Wisconsin,2000.5,Acer saccharum,Temperate,Deciduous,Dry,4.1,800.0
China,Hubei,2011.0,"Lirildendron chinense Hemsl., Rhus chinensis Mill., Loropetalum chinense",Temperate,Evergreen,Dry,16.9,1429.5
China,Guangxi Zhuang Autonomous Region,2012.0,"Erythrophleum fordii, Castanopsis hystrix, Pinus massoniana",Subtropical,Deciduous,Dry,21.1,1400.0
Zimbabwe,Marondera,2012.5,"Julbernadia globiflora, Syzygium huillense; Hyperrhenia spp., Andropogon spp.; Conyla banariensis; Euphorbia spp.; Paspalum urvillei; Senecio strictifolius;Drosera spp.",Subtropical,Deciduous,Dry,18.6,750.0
USA,Minnesota,1991.0,Sphagnum,Temperate,Evergreen,Wet,3.0,770.0
China,Shanghai,2013.5,"Metasequoia glyptostroboides, Zea mays, triticum aestivum, Oryza sativa, zea mays",Temperate,Deciduous,Dry,15.199999999999998,1025.0
UK,NE Wales,2000.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2001.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2002.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2003.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2004.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2005.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2006.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2007.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2008.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2009.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2010.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2011.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
UK,NE Wales,2012.0,C. vulgaris (L.),Mediterranean,Deciduous,Wet,8.2,1411.0
USA,Oregon,2001.5,Mix,Temperate,Evergreen,Dry,5.5,2800.0
USA,Oregon,2001.5,Mix,Temperate,Evergreen,Dry,5.5,2800.0
USA,Oregon,2001.5,Mix,Temperate,Evergreen,Dry,5.5,2800.0
USA,Oregon,2001.5,Mix,Temperate,Evergreen,Dry,5.5,2800.0
China,Shanghai,2009.0,"Ligustrum lucidum, Juniperus media, Ascendens mucronatum, Ascendens altissima, Populus tomentosa, Gleditsia triacanthos",Temperate,Deciduous,Dry,15.6,1137.1
USA,North Carolina,2012.0,"Pinus, Panicum virgatum L.",Temperate,Deciduous,Dry,17.3,1259.0
USA,California,2012.5,Eriogonum fasciculatum,Mediterranean,Evergreen,Dry,17.0,300.0
USA,Montana,1996.0,Larix occidentalis-Pinus contorta,Temperate,Evergreen,Dry,6.7,295.0
USA,Montana,1996.0,Pinus ponderosa-Pseudotsuga menziesii,Temperate,Evergreen,Dry,6.7,295.0
USA,Arizona,1995.0,Pinus ponderosa,Temperate,Evergreen,Dry,7.5,567.0
USA,Arizona,1996.0,Pinus ponderosa,Temperate,Evergreen,Dry,7.5,567.0
USA,Arizona,2003.5,Pinus ponderosa,Temperate,Evergreen,Dry,6.3,566.0
Bennin,Georgia,2012.0,Pinus taeda L.,Tropical,Evergreen,Dry,21.65,1187.0
USA,Tennessee/Georgia,2000.5,Quercus spp.,Temperate,Deciduous,Dry,14.0,1350.0
Austria,Bad Ischl,2014.5,"Fagus sylvatica, Picea abies, Abies alba",Temperate,Deciduous,Dry,6.6,1964.0
Brazil,Bahia,1999.5,Eucalyptus grandis x urophylla,Tropical,Evergreen,Dry,25.3,1040.0
Brazil,Bahia,2000.5,Eucalyptus grandis x urophylla,Tropical,Evergreen,Dry,25.3,1040.0
USA,North Carolina,1997.0,"Acer rubrum, Liriodendron tulipifera, Quercus prinus, Festuca-Panicum mix",Temperate,Deciduous,Dry,12.9,1796.0
USA,North Carolina,1995.5,"Liriodendron tulipifera; Acer rubrum; Quercus prinus; Betula lenta, Quercus prinus; Quercus alba; Acer rubrum",Temperate,Deciduous,Dry,12.6,1800.0
USA,North Carolina,2004.0,Tsuga canadensis; Nyssa sylvatica; Quercus alba; Liriodendron tulipifera; Acer rubrum; Betula lenta; Rhododendron maximum,Temperate,Mixed,Dry,13.0,1780.0
USA,North Carolina,2005.0,Tsuga canadensis; Nyssa sylvatica; Quercus alba; Liriodendron tulipifera; Acer rubrum; Betula lenta; Rhododendron maximum,Temperate,Mixed,Dry,13.0,1780.0
USA,North Carolina,2006.0,Tsuga canadensis; Nyssa sylvatica; Quercus alba; Liriodendron tulipifera; Acer rubrum; Betula lenta; Rhododendron maximum,Temperate,Mixed,Dry,13.0,1780.0
USA,North Carolina,1971.5,Mixed hardwood,Temperate,Deciduous,Dry,12.6,1900.0
USA,North Carolina,1995.0,Mixed hardwood,Temperate,Deciduous,Dry,12.6,1900.0
USA,North Carolina,1971.5,Pinus strobus,Temperate,Evergreen,Dry,12.6,1900.0
USA,North Carolina,1995.0,Pinus strobus,Temperate,Evergreen,Dry,12.6,1900.0
USA,North Carolina,1971.5,Mixed hardwood,Temperate,Deciduous,Dry,12.6,1900.0
USA,North Carolina,1995.0,Mixed hardwood,Temperate,Deciduous,Dry,12.6,1900.0
USA,North Carolina,1971.5,Mixed hardwood,Temperate,Deciduous,Dry,12.6,1900.0
USA,North Carolina,1995.0,Mixed hardwood,Temperate,Deciduous,Dry,12.6,1900.0
USA,North Carolina,1990.0,Eucalyptus spp.,Temperate,Deciduous,Wet,16.8,1349.0
USA,North Carolina,1990.0,Pinus spp.,Temperate,Deciduous,Wet,16.8,1349.0
USA,North Carolina,1990.0,Pinus spp.,Temperate,Deciduous,Wet,16.8,1349.0
USA,North Carolina,2001.0,Pinus taeda,Temperate,Evergreen,Dry,16.0,1360.0
China,Shaanxi,2009.0,Triticum aestivum,Temperate,Deciduous,Dry,12.9,550.0
