Study_midyear,Country,Region,Site_name,Species,Biome,Leaf_habit,Soil_drainage,MAT,MAP,Species_traducida
1991.5,USA,Hawaii,Laupahoehoe Forest Reserve,Pennisetum clandestinum,Tropical,Evergreen,Dry,22.3,2500.0,Pennisetum clandestinum
1991.5,USA,Hawaii,Laupahoehoe Forest Reserve,Pennisetum clandestinum,Tropical,Evergreen,Dry,27.0,2500.0,Pennisetum clandestinum
1992.0,Brazil,Rondondia,Fazenda Nova Vida,Brachiaria brizantha,Tropical,Deciduous,Dry,25.5,2200.0,Brachiaria brizantha
1992.0,Brazil,Rondondia,Fazenda Nova Vida,Brachiaria brizantha,Tropical,Deciduous,Dry,25.5,2200.0,Brachiaria brizantha
1992.0,USA,Michigan,Manistee National Forest,Acer saccharum-Tilia americana,Temperate,Deciduous,Dry,7.2,810.0,Acer saccharum-Tilia americana
1992.0,USA,Michigan,Manistee National Forest,Acer saccharum-Tilia americana,Temperate,Deciduous,Dry,7.2,810.0,Acer saccharum-Tilia americana
1992.0,USA,Wisconsin,Haynes1,Pinus resinosa,Temperate,Evergreen,Dry,4.2,586.0,Pinus resinosa
1992.0,Brazil,Rondondia,Fazenda Nova Vida,Brachiaria brizantha,Tropical,Deciduous,Dry,25.5,2200.0,Brachiaria brizantha
1992.0,Brazil,Rondondia,Fazenda Nova Vida,Brachiaria brizantha,Tropical,Deciduous,Dry,25.5,2200.0,Brachiaria brizantha
1992.0,Brazil,Rondondia,Fazenda Nova Vida,Brachiaria brizantha,Tropical,Deciduous,Dry,25.5,2200.0,Brachiaria brizantha
1992.0,Brazil,Rondondia,Fazenda Nova Vida,Brachiaria brizantha,Tropical,Deciduous,Dry,25.5,2200.0,Brachiaria brizantha
1992.0,USA,Texas,Brazos River floodplain,Triticum aestivum,Temperate,Deciduous,Dry,20.0,978.0,Trigo
1992.0,USA,Texas,Brazos River floodplain,Triticum aestivum,Temperate,Deciduous,Dry,20.0,978.0,Trigo
1992.0,USA,Texas,Brazos River floodplain,Triticum aestivum,Temperate,Deciduous,Dry,20.0,978.0,Trigo
1992.0,USA,Texas,Brazos River floodplain,Triticum aestivum,Temperate,Deciduous,Dry,20.0,978.0,Trigo
1992.0,USA,Texas,Brazos River floodplain,Sorghum bicolor,Temperate,Deciduous,Dry,20.0,978.0,Sorghum bicolor
1992.0,USA,Maine,Lytle-uncut,Picea rubens,Temperate,Evergreen,Dry,4.6,1119.0,Picea rubens
1992.0,USA,Wisconsin,Haynes1,Pinus resinosa,Temperate,Evergreen,Dry,4.2,586.0,Pinus resinosa
